TC5_W35,TC6A_W35,TC6B_W35,SNSA_W35,SNSB_W35,SNSE_W35,SM6A_W35,F_SEX_FINAL,F_CREGION_FINAL,F_EDUCCAT_FINAL,F_RACECMB_RECRUITMENT,F_AGECAT_FINAL,F_INCOME_FINAL,F_IDEO_FINAL,SM6B_W35,SM8A_W35,SM8B_W35,SM8C_W35,SM10A_W35,SM10B_W35,SM10C_W35,SM10D_W35,SM10E_W35,SM11_W35,SM3_W35,SM7_W35,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,WEIGHT_W35
1,3,1,1,0,0,2,1,3,3,1,2,3,2,3,2,2,2,2,2,2,2,2,2,1,1,-1.3715713430438785,1.0652676597923314,1.668418023324716,-0.4931440385346068,-0.09685429111715815,-1.1322249242052098,1.1924743593732274,1.0600152861426801,-0.4296962916499542,3.675778359
3,3,1,1,1,0,3,1,3,1,1,2,8,3,2,2,2,2,2,2,2,2,2,1,1,2,-0.29770604672173817,1.4466078489908245,-0.7233415328230758,-0.40663378560952657,0.2979915850198572,-0.22307620201641656,-0.3427698669880626,-0.15482401746278765,-0.617898222588843,0.3662603066
1,1,1,1,1,1,2,2,4,2,4,3,7,2,1,2,2,2,1,2,2,2,2,2,2,1,-0.9684794084761511,0.9596826298354475,1.5645722672945566,-0.8202893540299142,0.16177394008076162,0.01980993939828759,1.1119305072987369,1.3233098097069917,-1.691277050766774,0.2589057887
1,2,1,1,1,1,2,1,4,3,1,3,3,2,3,2,2,2,1,1,1,1,1,2,2,1,-1.1166820193464027,-1.0484547077745796,0.13227318273466046,-0.8283555276582855,1.3622013272223936,-0.8988161016810647,-0.09505555193655427,1.8734743837996195,-1.3608830338528104,1.1519324161
1,1,2,0,0,1,3,1,3,2,1,3,9,4,3,2,2,2,2,2,1,1,1,2,2,2,-0.577649032668377,0.3028456210195461,0.9381219826580707,-0.6458607392135763,-0.4609331173299316,-0.8433469203820961,-0.32586293230919217,0.38684813986895394,-0.41876689998845884,0.0972194815
2,2,1,1,0,1,3,2,1,2,1,1,7,2,3,2,2,2,1,2,1,1,2,2,2,1,-0.938553697630952,0.31631664277234905,-1.0012622110369738,-0.49349336938240673,0.22335558334737682,-0.5931157163190356,1.7393107323994952,-0.2390018147458138,-1.6750253252195517,2.1642633921
1,1,2,1,0,0,1,1,2,3,1,4,4,3,3,2,2,1,2,2,2,1,2,2,1,1,-0.06570517399060946,0.19717838866148266,-0.45096385076862205,0.7624269464796568,-0.008815922384083491,-1.0327653672312125,-0.07340671353895686,0.6844755693937492,0.3137107343702554,1.3123653202
1,1,1,1,1,1,1,1,3,1,1,4,9,5,2,2,2,2,2,2,1,1,1,1,2,1,-1.29519540947742,-2.1808766363797396,1.9366058816321345,0.46189109902199416,-0.47405191566817906,0.2013726208980274,1.2083808040218276,-1.0033415565989805,0.4951205305515632,0.0972340469
1,1,3,1,0,1,1,2,3,1,1,2,8,4,3,2,2,2,1,1,1,1,1,1,2,2,0.2430515192289161,-0.670622317374149,-0.48197163153211453,-0.21265898279521134,-0.5882072453916327,-0.8516506816631296,-0.3626892034915345,-0.14165252390752614,-0.422198231405153,0.2626055057
3,1,2,1,0,0,1,2,1,1,1,4,3,3,3,2,2,2,2,2,2,1,2,2,2,2,1.5150692279451206,-0.36380859622105904,0.3286217944788967,-0.849283398385784,-1.2404391027550326,1.0443751411247502,0.13363785127513372,0.13964557688390242,-0.7513810709056064,0.1389870811
