weight,regulation,Charged_Content,Factor2,Factor3,Factor4,Factor5,Factor6,Political_Action,Factor8,Negative_Affect,correct_misinformation,bullying,support,deception,accurate_pic,censorship_very_likely,censorship_not_very_likely,censorship_not_at_all_likely,accept_selective_look,selective_vote_reminder,selective_emotion,male,some_college,college_grads,black,asian,mixed_race,other,below_30K,above_75K,very_conservative,conservative,liberal,very_liberal,age_18_29,age_50_64,age_65_up,region,ideology,age,race,income,education,SM6A_W35,SM6B_W35,political identity
0.8817839783,More Regulation,-2.0706912114833544,0.46439313950372857,-0.38269680058584876,0.9629929207241301,-1.158338292760286,1.175260659553138,0.10636124740049213,-0.5014914937087621,0.9765790846884302,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,3,3,1,1,1,3,3,moderate
0.2038578581,Enough Regulation,-0.40328717986615503,1.0734824839504626,0.9639946584531499,-0.039254179008130156,-1.0423025627919063,1.7704827976261943,-0.31136626333036077,-1.0254870404076089,-1.4020119116828147,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,5,4,1,3,1,1,3,very liberal
1.1555147693,Enough Regulation,-0.1400709829504916,-0.017506467773093042,0.3974454935362456,-0.9218308651899403,-0.49843195131893925,1.2844091776040127,0.7375171057921256,1.0465940589692462,-1.4578669939513944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,3,1,2,2,3,3,conservative
0.1105548629,More Regulation,0.8676946811626599,-1.89452868510281,0.2981113381205469,0.2992477233137995,0.026037856033064303,0.4967649994407949,-1.3984829139474513,1.5052151110211562,0.5242377748570678,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2,4,4,1,1,1,3,3,liberal
0.971888474,More Regulation,1.129028104302965,-0.717279705753902,-0.9196198993153071,-0.6519551498684244,-0.3704258678725428,-0.7396853849374844,0.009197566685368374,-0.07982689603681671,-1.707149372288572,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,3,1,1,3,3,1,moderate
6.7848317702,Enough Regulation,-0.6981200779563113,1.7085833721610924,-0.5559056804878979,-0.9302057398457223,-0.839072385204711,-0.3725852414534064,-1.0732464937721278,-1.332454489894801,-0.5575454258204793,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,2,3,2,1,conservative
1.2920450648,Enough Regulation,1.0216909745374083,-0.7273803266443171,-0.07617225631502711,0.44047094517364255,0.646519742964983,-0.3771183306698479,-1.0673240232691277,-1.2557079997590654,1.4133831346555945,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,2,3,2,3,2,2,1,conservative
1.1522547939,Enough Regulation,1.1697957316376615,-0.33995737923373415,0.2447723522820655,-0.3086605355000141,-0.15612650376381496,-0.8994008082961776,0.24146279909579535,-0.261569402786556,0.22408969890595035,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,3,1,1,1,3,3,very conservative
0.6479929186,More Regulation,-0.1106630672374998,0.18283339614609856,0.09803672241391624,1.199764344526022,-0.4178698501273511,-0.49863914611123,0.5311568865552428,0.06429283826493004,0.8449530862167791,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,2,3,3,moderate
0.2976122243,Enough Regulation,-1.826375466659638,0.14593111934689945,-0.692486035888075,0.3041522501579711,-0.9173188027822125,0.06019850905047535,0.18772029170157872,-0.14032108459965975,-0.3648681518951138,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,1,1,3,very conservative
0.1879936425,More Regulation,0.46987543050487723,0.9020874738624659,0.3252989715184773,-0.9059784796014402,0.9830753578198178,-0.10576428557285304,0.3718089594031113,1.3989110368918156,0.49351580372782705,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,3,1,1,1,3,1,very conservative
1.7866502608,More Regulation,0.2825710859210123,0.9323365455888301,1.2770727267211055,0.5699687120615375,-0.5963050904229812,0.8724777156019564,0.3396168988828137,0.9363839556119914,-0.12085734115122657,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,3,3,3,moderate
1.2397772786,Enough Regulation,0.9522561250340091,-0.4347241780580093,0.45310936649357186,0.8886821402503261,-0.5364996532508229,0.2292481303836929,-1.1257612457170756,-1.3478533801611616,-0.45422640940923553,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,1,1,3,conservative
0.1194312634,Enough Regulation,-0.14022823188639597,-0.008774542826369497,-1.5725386093451057,-0.6406278270110427,0.6238509941656688,-0.8239898355661639,-0.20870383983936533,0.03122652189064085,0.35044901266584755,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,4,1,1,2,3,1,conservative
